"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"22415-15671","SG","Brandon","Brandon Paul","Paul","8.448148374204282","27","3800","SA@DAL","SA","DAL","","","",""
"22415-80821","C","Jarrett","Jarrett Allen","Allen","14.511764526367188","17","3800","WAS@BKN","BKN","WAS","","","",""
"22415-9678","C","Channing","Channing Frye","Frye","9.595999755859374","25","3800","ATL@CLE","CLE","ATL","","","",""
"22415-9810","PG","Jerryd","Jerryd Bayless","Bayless","15.875","20","3700","PHI@MIN","PHI","MIN","","","",""
"22415-63124","PG","Emmanuel","Emmanuel Mudiay","Mudiay","18.5499995304988","26","3700","DEN@DET","DEN","DET","","","",""
"22415-63127","C","Willy","Willy Hernangomez","Hernangomez","12.12142835344587","14","3700","LAL@NY","NY","LAL","","","",""
"22415-16183","SF","JaKarr","JaKarr Sampson","Sampson","14.166666666666666","6","3700","PHO@SAC","SAC","PHO","","","",""
"22415-9704","SG","Manu","Manu Ginobili","Ginobili","15.522727272727273","22","3700","SA@DAL","SA","DAL","GTD","Rest","",""
"22415-9731","C","Kosta","Kosta Koufos","Koufos","15.934614915114183","26","3600","PHO@SAC","SAC","PHO","","","",""
"22415-15961","C","Tyler","Tyler Zeller","Zeller","16.829412123736212","17","3600","WAS@BKN","BKN","WAS","","","",""
"22415-9870","SG","Kyle","Kyle Korver","Korver","16.274073848017938","27","3600","ATL@CLE","CLE","ATL","","","",""
"22415-14515","SG","Iman","Iman Shumpert","Shumpert","12.115384615384615","13","3600","ATL@CLE","CLE","ATL","O","Knee","",""
"22415-16063","PF","Eric","Eric Moreland","Moreland","8.527273004705256","22","3600","DEN@DET","DET","DEN","GTD","Illness","",""
"22415-22727","PG","Ron","Ron Baker","Baker","11.1875","8","3600","LAL@NY","NY","LAL","","","",""
"22415-15591","C","Miles","Miles Plumlee","Plumlee","11.342857360839844","7","3600","ATL@CLE","ATL","CLE","","","",""
"22415-16196","PF","Dwight","Dwight Powell","Powell","16.353846623347355","26","3600","SA@DAL","DAL","SA","","","",""
"22415-58247","PG","Isaiah","Isaiah Whitehead","Whitehead","12.233333163791233","9","3600","WAS@BKN","BKN","WAS","","","",""
"22415-48583","SG","Antonius","Antonius Cleveland","Cleveland","4.8666665818956165","9","3600","SA@DAL","DAL","SA","","","",""
"22415-9712","PG","Jose","Jose Calderon","Calderon","7.755555894639757","18","3600","ATL@CLE","CLE","ATL","","","",""
"22415-49675","PG","Derrick","Derrick White","White","6.049999872843425","6","3500","SA@DAL","SA","DAL","","","",""
"22415-64017","C","Salah","Salah Mejri","Mejri","12.682609226392662","23","3500","SA@DAL","DAL","SA","","","",""
"22415-66064","SG","Malik","Malik Beasley","Beasley","6.75652147376019","23","3500","DEN@DET","DEN","DET","","","",""
"22415-59416","SF","John","John Holland","Holland","1.100000023841858","4","3500","ATL@CLE","CLE","ATL","","","",""
